symbol,instrument_token,sector,is_index
RELIANCE,NSE_EQ|INE002A01018,Energy,False
ONGC,NSE_EQ|INE213A01029,Energy,False
BPCL,NSE_EQ|INE029A01011,Energy,False
IOC,NSE_EQ|INE242A01010,Energy,False
GAIL,NSE_EQ|INE129A01019,Energy,False
HINDPETRO,NSE_EQ|INE094A01015,Energy,False
ADANIENT,NSE_EQ|INE423A01024,Energy,False
ADANIGREEN,NSE_EQ|INE364U01010,Energy,False
ADANIPORTS,NSE_EQ|INE742F01042,Energy,False
TATAPOWER,NSE_EQ|INE245A01021,Energy,False
NTPC,NSE_EQ|INE733E01010,Energy,False
POWERGRID,NSE_EQ|INE752E01010,Energy,False
TORNTPOWER,NSE_EQ|INE813H01021,Energy,False
CESC,NSE_EQ|INE486A01021,Energy,False
PETRONET,NSE_EQ|INE347G01014,Energy,False
GSPL,NSE_EQ|INE246F01010,Energy,False
JSWENERGY,NSE_EQ|INE121E01018,Energy,False
NHPC,NSE_EQ|INE848E01016,Energy,False
SJVN,NSE_EQ|INE002L01015,Energy,False
ADANITRANS,NSE_EQ|INE931S01010,Energy,False
HDFCBANK,NSE_EQ|INE040A01034,Banking,False
ICICIBANK,NSE_EQ|INE090A01021,Banking,False
SBIN,NSE_EQ|INE062A01020,Banking,False
KOTAKBANK,NSE_EQ|INE237A01036,Banking,False
AXISBANK,NSE_EQ|INE238A01034,Banking,False
INDUSINDBK,NSE_EQ|INE095A01012,Banking,False
BANKBARODA,NSE_EQ|INE028A01039,Banking,False
PNB,NSE_EQ|INE160A01022,Banking,False
FEDERALBNK,NSE_EQ|INE171A01029,Banking,False
IDFCFIRSTB,NSE_EQ|INE092T01019,Banking,False
AUBANK,NSE_EQ|INE949L01017,Banking,False
BANDHANBNK,NSE_EQ|INE545U01014,Banking,False
CANBK,NSE_EQ|INE476A01022,Banking,False
UNIONBANK,NSE_EQ|INE692A01016,Banking,False
INDIANB,NSE_EQ|INE562A01011,Banking,False
CENTRALBK,NSE_EQ|INE483A01010,Banking,False
RBLBANK,NSE_EQ|INE976G01028,Banking,False
YESBANK,NSE_EQ|INE528G01035,Banking,False
DCBBANK,NSE_EQ|INE503A01015,Banking,False
CSBBANK,NSE_EQ|INE679A01013,Banking,False
KARURVYSYA,NSE_EQ|INE036D01028,Banking,False
MAHABANK,NSE_EQ|INE457A01014,Banking,False
JKBANK,NSE_EQ|INE168A01041,Banking,False
SOUTHBANK,NSE_EQ|INE683A01023,Banking,False
TCS,NSE_EQ|INE467B01029,IT,False
INFY,NSE_EQ|INE009A01021,IT,False
WIPRO,NSE_EQ|INE075A01022,IT,False
HCLTECH,NSE_EQ|INE860A01027,IT,False
TECHM,NSE_EQ|INE669C01036,IT,False
LTIM,NSE_EQ|INE214T01019,IT,False
MPHASIS,NSE_EQ|INE356A01018,IT,False
COFORGE,NSE_EQ|INE591G01025,IT,False
PERSISTENT,NSE_EQ|INE262H01021,IT,False
LTTS,NSE_EQ|INE010V01017,IT,False
KPITTECH,NSE_EQ|INE793A01012,IT,False
OFSS,NSE_EQ|INE881D01027,IT,False
MASTEK,NSE_EQ|INE759A01021,IT,False
TATAELXSI,NSE_EQ|INE670A01012,IT,False
BIRLASOFT,NSE_EQ|INE836B01017,IT,False
CYIENT,NSE_EQ|INE136B01020,IT,False
TANLA,NSE_EQ|INE483B01026,IT,False
ROUTE,NSE_EQ|INE450U01017,IT,False
BHARTIARTL,NSE_EQ|INE397D01024,Telecom,False
IDEA,NSE_EQ|INE669E01016,Telecom,False
TATACOMM,NSE_EQ|INE151A01013,Telecom,False
HINDUNILVR,NSE_EQ|INE030A01027,FMCG,False
ITC,NSE_EQ|INE154A01025,FMCG,False
NESTLEIND,NSE_EQ|INE239A01024,FMCG,False
BRITANNIA,NSE_EQ|INE216A01030,FMCG,False
DABUR,NSE_EQ|INE016A01026,FMCG,False
MARICO,NSE_EQ|INE196A01026,FMCG,False
COLPAL,NSE_EQ|INE259A01022,FMCG,False
GODREJCP,NSE_EQ|INE102D01028,FMCG,False
TATACONSUM,NSE_EQ|INE192A01025,FMCG,False
UBL,NSE_EQ|INE686F01025,FMCG,False
MCDOWELL,NSE_EQ|INE854D01024,FMCG,False
VBL,NSE_EQ|INE200M01039,FMCG,False
EMAMILTD,NSE_EQ|INE548C01032,FMCG,False
BAJAJCON,NSE_EQ|INE933K01021,FMCG,False
JYOTHYLAB,NSE_EQ|INE668F01031,FMCG,False
RADICO,NSE_EQ|INE944F01028,FMCG,False
ZYDUSWELL,NSE_EQ|INE768C01028,FMCG,False
PGHH,NSE_EQ|INE179A01014,FMCG,False
SUNPHARMA,NSE_EQ|INE044A01036,Pharma,False
DRREDDY,NSE_EQ|INE089A01031,Pharma,False
CIPLA,NSE_EQ|INE059A01026,Pharma,False
DIVISLAB,NSE_EQ|INE361B01024,Pharma,False
AUROPHARMA,NSE_EQ|INE406A01037,Pharma,False
BIOCON,NSE_EQ|INE376G01013,Pharma,False
LUPIN,NSE_EQ|INE326A01037,Pharma,False
TORNTPHARM,NSE_EQ|INE685A01028,Pharma,False
APOLLOHOSP,NSE_EQ|INE437A01024,Pharma,False
LALPATHLAB,NSE_EQ|INE600L01024,Pharma,False
ZYDUSLIFE,NSE_EQ|INE010B01027,Pharma,False
GLENMARK,NSE_EQ|INE935A01035,Pharma,False
IPCA,NSE_EQ|INE571A01038,Pharma,False
NATCOPHARM,NSE_EQ|INE987B01026,Pharma,False
ALKEM,NSE_EQ|INE540L01014,Pharma,False
GRANULES,NSE_EQ|INE101D01020,Pharma,False
LAURUSLABS,NSE_EQ|INE947Q01028,Pharma,False
METROPOLIS,NSE_EQ|INE112L01020,Pharma,False
AJANTPHARM,NSE_EQ|INE031B01049,Pharma,False
JBCHEPHARM,NSE_EQ|INE572A01036,Pharma,False
MANKIND,NSE_EQ|INE634S01028,Pharma,False
ERIS,NSE_EQ|INE406M01024,Pharma,False
