trade_id,symbol,sector,side,entry_time,entry_price,exit_time,exit_price,qty,bricks_held,favorable,adverse,gross_pnl,cost,net_pnl,exit_reason
1,ADANIPOWER,Energy,SHORT,2026-03-12 12:04:04,149.28,2026-03-12 14:59:40,148.97,67,19,1,5,15.77,15.31,0.46,STRUCTURAL_REVERSAL
7,ATGL,Energy,LONG,2026-03-12 09:57:38,622.2,2026-03-12 10:26:13,623.8,16,19,1,5,20.62,15.28,5.34,STRUCTURAL_REVERSAL
7,ATGL,Energy,LONG,2026-03-12 09:57:38,622.2,2026-03-12 10:26:13,623.8,16,19,1,5,20.62,15.28,5.34,STRUCTURAL_REVERSAL
8,ADANIPOWER,Energy,SHORT,2026-03-12 12:33:26,147.1,2026-03-12 14:59:40,148.97,68,13,-3,5,-132.16,15.4,-147.57,STRUCTURAL_REVERSAL
6,ASTRAL,Infrastructure,LONG,2026-03-12 09:26:54,1662.5,2026-03-12 15:29:10,1688.1,6,44,4,5,148.61,15.42,133.19,STRUCTURAL_REVERSAL
2,RADICO,FMCG,LONG,2026-03-12 09:19:00,2803.3,2026-03-12 15:35:00,2860.0,3,21,5,2,165.9,13.04,152.86,EOD_SQUARE_OFF
3,ASHOKLEY,Infrastructure,LONG,2026-03-12 09:20:58,179.87,2026-03-12 15:35:00,178.0,55,27,-3,4,-107.8,15.07,-122.87,EOD_SQUARE_OFF
4,APARINDS,Infrastructure,LONG,2026-03-12 09:22:49,9014.0,2026-03-12 15:35:00,9425.0,1,46,10,3,406.49,14.17,392.32,EOD_SQUARE_OFF
5,UNOMINDA,Auto,LONG,2026-03-12 09:23:58,1051.7,2026-03-12 15:35:00,1065.0,9,21,3,4,114.97,14.61,100.36,EOD_SQUARE_OFF
9,LINDEINDIA,Metals,LONG,2026-03-12 12:46:37,7164.0,2026-03-12 15:35:00,7200.0,1,9,1,0,32.42,11.01,21.41,EOD_SQUARE_OFF
8,LTTS,IT,LONG,2026-03-13 12:04:49,3377.9,2026-03-13 12:46:27,3310.6,2,11,-5,5,-137.98,10.23,-148.21,STRUCTURAL_REVERSAL
9,FACT,Metals,LONG,2026-03-13 12:50:01,848.0,2026-03-13 13:57:01,851.0,11,39,1,5,28.34,14.32,14.01,STRUCTURAL_REVERSAL
10,NATIONALUM,Metals,LONG,2026-03-13 13:11:28,388.7,2026-03-13 15:35:04,386.45,25,8,-2,2,-61.11,14.84,-75.95,EOD_SQUARE_OFF
